class_id,img_idx,ksize,sigma,cos_sim
235,11,11,5.0,0.834854245185852
235,12,5,1.0,0.9314125776290894
235,12,5,2.0,0.9221945405006409
235,12,5,4.0,0.922972559928894
235,12,5,9.0,0.9230501651763916
235,12,7,2.0,0.9084421396255493
235,12,7,4.0,0.9003312587738037
235,12,7,13.5,0.9023805856704712
235,12,7,15.0,0.9024088382720947
235,12,11,2.0,0.8897558450698853
235,12,11,5.0,0.877250075340271
235,13,5,1.0,0.939277172088623
235,13,5,2.0,0.877829909324646
235,13,5,4.0,0.8277298212051392
235,13,5,9.0,0.8127134442329407
235,13,7,2.0,0.78863126039505
235,13,7,4.0,0.6451424360275269
235,13,7,13.5,0.5620895624160767
235,13,7,15.0,0.5606883764266968
235,13,11,2.0,0.7901878356933594
235,13,11,5.0,0.4119703769683838
235,14,5,1.0,0.9143884778022766
235,14,5,2.0,0.9001269340515137
235,14,5,4.0,0.8975958824157715
235,14,5,9.0,0.896194338798523
235,14,7,2.0,0.8996402621269226
235,14,7,4.0,0.8957857489585876
235,14,7,13.5,0.8907981514930725
235,14,7,15.0,0.8906875848770142
235,14,11,2.0,0.8984692096710205
235,14,11,5.0,0.8679951429367065
235,15,5,1.0,0.9618975520133972
235,15,5,2.0,0.9505457282066345
235,15,5,4.0,0.9533706903457642
235,15,5,9.0,0.9541555643081665
235,15,7,2.0,0.944383978843689
235,15,7,4.0,0.9372149109840393
235,15,7,13.5,0.9357073307037354
235,15,7,15.0,0.9356676340103149
235,15,11,2.0,0.9362571239471436
235,15,11,5.0,0.8738493919372559
235,16,5,1.0,0.8595269322395325
235,16,5,2.0,0.8392143845558167
235,16,5,4.0,0.8640643358230591
235,16,5,9.0,0.8703532218933105
235,16,7,2.0,0.7995096445083618
235,16,7,4.0,0.7957783937454224
235,16,7,13.5,0.7976086139678955
235,16,7,15.0,0.7976575493812561
235,16,11,2.0,0.7872885465621948
235,16,11,5.0,0.6941102743148804
235,17,5,1.0,0.9750247597694397
235,17,5,2.0,0.9686083793640137
235,17,5,4.0,0.967909038066864
235,17,5,9.0,0.9680477976799011
235,17,7,2.0,0.9600930213928223
235,17,7,4.0,0.9586700201034546
235,17,7,13.5,0.9583923816680908
235,17,7,15.0,0.9583515524864197
235,17,11,2.0,0.9560918807983398
235,17,11,5.0,0.9403886795043945
235,18,5,1.0,0.9561197757720947
235,18,5,2.0,0.9389780163764954
235,18,5,4.0,0.9394950866699219
235,18,5,9.0,0.9398626089096069
235,18,7,2.0,0.913104772567749
235,18,7,4.0,0.9065845012664795
235,18,7,13.5,0.9069780111312866
235,18,7,15.0,0.9070000648498535
235,18,11,2.0,0.8991758823394775
235,18,11,5.0,0.801547646522522
235,19,5,1.0,0.9732217788696289
235,19,5,2.0,0.9666986465454102
235,19,5,4.0,0.9665959477424622
235,19,5,9.0,0.96532142162323
235,19,7,2.0,0.9562245011329651
235,19,7,4.0,0.9551849365234375
235,19,7,13.5,0.955880880355835
235,19,7,15.0,0.9558979272842407
235,19,11,2.0,0.9515066146850586
235,19,11,5.0,0.9258300065994263
235,20,5,1.0,0.9479343891143799
235,20,5,2.0,0.92508864402771
235,20,5,4.0,0.9205415844917297
235,20,5,9.0,0.9195297360420227
235,20,7,2.0,0.901968240737915
235,20,7,4.0,0.8891959190368652
235,20,7,13.5,0.879570484161377
235,20,7,15.0,0.8794745206832886
235,20,11,2.0,0.889142632484436
235,20,11,5.0,0.8555605411529541
235,21,5,1.0,0.9538220167160034
235,21,5,2.0,0.9254083037376404
235,21,5,4.0,0.9226683378219604
235,21,5,9.0,0.9231916666030884
235,21,7,2.0,0.9003471732139587
235,21,7,4.0,0.9024170637130737
235,21,7,13.5,0.9004054665565491
235,21,7,15.0,0.9002933502197266
235,21,11,2.0,0.890587568283081
235,21,11,5.0,0.8285372257232666
235,22,5,1.0,0.9524441361427307
235,22,5,2.0,0.9375296831130981
235,22,5,4.0,0.9340895414352417
235,22,5,9.0,0.9331590533256531
235,22,7,2.0,0.921808123588562
235,22,7,4.0,0.9153581857681274
235,22,7,13.5,0.9161057472229004
235,22,7,15.0,0.9161445498466492
235,22,11,2.0,0.91774582862854
235,22,11,5.0,0.8740952014923096
235,23,5,1.0,0.9551477432250977
235,23,5,2.0,0.936028242111206
235,23,5,4.0,0.9300747513771057
235,23,5,9.0,0.9283021092414856
235,23,7,2.0,0.9099649786949158
235,23,7,4.0,0.8889141082763672
235,23,7,13.5,0.8821586966514587
235,23,7,15.0,0.8820066452026367
235,23,11,2.0,0.901222825050354
235,23,11,5.0,0.7628377676010132
235,24,5,1.0,0.9018621444702148
235,24,5,2.0,0.8650058507919312
235,24,5,4.0,0.8579930067062378
235,24,5,9.0,0.8555982112884521
235,24,7,2.0,0.8014930486679077
235,24,7,4.0,0.771472692489624
235,24,7,13.5,0.7667287588119507
235,24,7,15.0,0.766494631767273
235,24,11,2.0,0.7790858745574951
235,24,11,5.0,0.6632131338119507
235,25,5,1.0,0.9138443470001221
235,25,5,2.0,0.8980916738510132
235,25,5,4.0,0.9207980036735535
235,25,5,9.0,0.9228628873825073
235,25,7,2.0,0.8703954219818115
235,25,7,4.0,0.8706003427505493
235,25,7,13.5,0.8746294975280762
235,25,7,15.0,0.8746864795684814
235,25,11,2.0,0.860101044178009
235,25,11,5.0,0.8124112486839294
235,26,5,1.0,0.9699577689170837
235,26,5,2.0,0.9526031017303467
235,26,5,4.0,0.9487318396568298
